RegionID,Neighborhood,State,City,Metro,County,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,BedroomCount,Location
417101,Baker Street,CA,Bakersfield,"Bakersfield, CA",Kern County,165497.0,168092.0,170169.0,171871.0,173124.0,174336.0,175031.0,175844.0,176369.0,177101.0,177689.0,178499.0,180367.0,182774.0,185506.0,187726.0,189147.0,190280.0,191362.0,192543.0,193645.0,194343.0,195203.0,196293.0,197703.0,199744.0,202180.0,204846.0,207481.0,210047.0,211774.0,212713.0,213060.0,214022.0,215861.0,218125.0,220664.0,223163.0,226075.0,228933.0,231613.0,233948.0,235514.0,236218.0,236484.0,236565.0,236618.0,236454.0,237865.0,239233.0,2,"Baker Street, Bakersfield"
275784,Turtle Ridge,CA,Irvine,"Los Angeles-Long Beach-Anaheim, CA",Orange County,779046.0,773047.0,765565.0,763167.0,761484.0,761081.0,759098.0,758720.0,760755.0,764792.0,769075.0,770771.0,770995.0,770184.0,771062.0,771729.0,770305.0,766624.0,762042.0,760158.0,760754.0,763766.0,769507.0,774760.0,779473.0,781551.0,784076.0,789422.0,798572.0,810355.0,821722.0,831928.0,840889.0,850596.0,861623.0,874552.0,892730.0,915073.0,940707.0,963932.0,984687.0,999415.0,1006843.0,1005261.0,1000372.0,998289.0,998051.0,996620.0,995637.0,994543.0,2,"Turtle Ridge, Irvine"
762235,Point Dume,CA,Malibu,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1164302.0,1146203.0,1127096.0,1111595.0,1098341.0,1082278.0,1073237.0,1083602.0,1100865.0,1115249.0,1119021.0,1123357.0,1122304.0,1113575.0,1101361.0,1085701.0,1066844.0,1042113.0,1027728.0,1033327.0,1052421.0,1077196.0,1108703.0,1151275.0,1184647.0,1208888.0,1214851.0,1227323.0,1242514.0,1267899.0,1291076.0,1310682.0,1323576.0,1338958.0,1356709.0,1382367.0,1425513.0,1479612.0,1536029.0,1575592.0,1600455.0,1611031.0,1614145.0,1608164.0,1595652.0,1587472.0,1590079.0,1594517.0,1647006.0,1705220.0,2,"Point Dume, Malibu"
417521,Anza Vista,CA,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,1314475.0,1304863.0,1294828.0,1289235.0,1289661.0,1296315.0,1305866.0,1316368.0,1326269.0,1335416.0,1342807.0,1347061.0,1347560.0,1345453.0,1343474.0,1341340.0,1336936.0,1329987.0,1323016.0,1318117.0,1313510.0,1312042.0,1313732.0,1315384.0,1314927.0,1307684.0,1299806.0,1292796.0,1295749.0,1301766.0,1312868.0,1324710.0,1338991.0,1350409.0,1364731.0,1378532.0,1384888.0,1381224.0,1374274.0,1373002.0,1368941.0,1355882.0,1330642.0,1298514.0,1264120.0,1236129.0,1216745.0,1203283.0,1196693.0,1191483.0,2,"Anza Vista, San Francisco"
343943,East San Mateo,CA,San Mateo,"San Francisco-Oakland-Berkeley, CA",San Mateo County,1170556.0,1173679.0,1183903.0,1188577.0,1194246.0,1201061.0,1214338.0,1229248.0,1240352.0,1242844.0,1244878.0,1246136.0,1245489.0,1242127.0,1242454.0,1247007.0,1249655.0,1237325.0,1219073.0,1199915.0,1195959.0,1200950.0,1208628.0,1216651.0,1219417.0,1222123.0,1221211.0,1228846.0,1242681.0,1260846.0,1277070.0,1287298.0,1293247.0,1298063.0,1304696.0,1312079.0,1322512.0,1337504.0,1357557.0,1370823.0,1373570.0,1366280.0,1354375.0,1339710.0,1323957.0,1308045.0,1291967.0,1276176.0,1274173.0,1267601.0,2,"East San Mateo, San Mateo"
416997,Hitchcock,CA,Santa Barbara,"Santa Maria-Santa Barbara, CA",Santa Barbara County,662359.0,663067.0,666566.0,669096.0,672361.0,675039.0,677342.0,680358.0,682167.0,683468.0,682534.0,681927.0,689874.0,704221.0,724701.0,737636.0,745325.0,746517.0,752294.0,756463.0,759925.0,758824.0,759599.0,761179.0,761239.0,761396.0,763975.0,772436.0,785971.0,802809.0,821907.0,842012.0,861825.0,879417.0,896673.0,914234.0,935012.0,958080.0,985203.0,1012278.0,1036262.0,1051788.0,1055206.0,1047931.0,1036909.0,1030339.0,1028704.0,1027414.0,1023809.0,1010551.0,2,"Hitchcock, Santa Barbara"
117148,Oxnard Shores,CA,Oxnard,"Oxnard-Thousand Oaks-Ventura, CA",Ventura County,619669.0,620753.0,621694.0,620856.0,620130.0,618362.0,616240.0,614276.0,612388.0,611445.0,611107.0,611358.0,613520.0,616371.0,619958.0,621724.0,620703.0,619202.0,617388.0,618916.0,622967.0,631846.0,643275.0,654548.0,664491.0,673397.0,682700.0,695118.0,710331.0,727751.0,738388.0,744642.0,747236.0,754198.0,763277.0,775008.0,794119.0,819017.0,847858.0,875185.0,895731.0,906791.0,902401.0,891016.0,879343.0,873495.0,870562.0,867101.0,867650.0,867921.0,2,"Oxnard Shores, Oxnard"
761632,Hedionda Point,CA,Carlsbad,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,633032.0,646174.0,666682.0,683057.0,697409.0,707366.0,712750.0,714364.0,716331.0,718471.0,724228.0,730427.0,737828.0,745860.0,755141.0,765214.0,771597.0,763799.0,746493.0,727102.0,718981.0,719580.0,725006.0,730439.0,734609.0,737741.0,744116.0,755502.0,771856.0,789354.0,809412.0,828785.0,846280.0,862151.0,878115.0,895849.0,917384.0,942827.0,973006.0,1002715.0,1029242.0,1046990.0,1049277.0,1039122.0,1024197.0,1012899.0,1004822.0,997667.0,997222.0,991814.0,2,"Hedionda Point, Carlsbad"
114852,Easton,CA,Fresno,"Fresno, CA",Fresno County,164581.0,166865.0,168200.0,168650.0,169144.0,170590.0,172294.0,173551.0,173160.0,172465.0,172183.0,172870.0,176472.0,179963.0,182989.0,187140.0,191320.0,195456.0,195899.0,196832.0,198831.0,201817.0,205134.0,209224.0,213143.0,217734.0,222531.0,227067.0,231500.0,235249.0,238425.0,239718.0,239821.0,239780.0,241244.0,243553.0,247111.0,251419.0,256818.0,261989.0,266374.0,268471.0,269244.0,268005.0,266879.0,266104.0,265681.0,265333.0,266241.0,267205.0,2,"Easton, Fresno"
786302,Candlestick Point SRA,CA,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,746821.0,745202.0,743685.0,743630.0,745406.0,747258.0,751347.0,754181.0,756867.0,757522.0,757709.0,758066.0,757885.0,757013.0,754774.0,751016.0,746442.0,739835.0,735058.0,732612.0,732675.0,732178.0,732739.0,733396.0,734999.0,734142.0,732514.0,731595.0,733131.0,737468.0,743323.0,749224.0,754824.0,759155.0,762493.0,763351.0,763149.0,764836.0,770615.0,778069.0,784170.0,784450.0,778337.0,766809.0,753619.0,741797.0,732213.0,724090.0,719531.0,717082.0,2,"Candlestick Point SRA, San Francisco"
816086,Red Hill,CA,Rancho Cucamonga,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,453527.0,455851.0,458725.0,460562.0,462417.0,463550.0,463915.0,463575.0,463894.0,464766.0,467113.0,469666.0,470413.0,470161.0,469743.0,471469.0,472178.0,472383.0,472294.0,474223.0,478362.0,484417.0,491546.0,499146.0,505222.0,509642.0,512032.0,516238.0,523455.0,532455.0,540159.0,546140.0,551674.0,558399.0,564812.0,570954.0,577395.0,584616.0,592724.0,599954.0,606574.0,610949.0,611752.0,609339.0,605665.0,604019.0,603308.0,601952.0,599848.0,597698.0,2,"Red Hill, Rancho Cucamonga"
764141,Smith Ranch,CA,San Rafael,"San Francisco-Oakland-Berkeley, CA",Marin County,595357.0,590377.0,584923.0,582424.0,582046.0,582252.0,582741.0,584364.0,585337.0,585339.0,585254.0,586619.0,592710.0,606313.0,620117.0,631725.0,635764.0,639722.0,645240.0,642089.0,631708.0,614319.0,605007.0,601957.0,601844.0,600921.0,601478.0,602330.0,604509.0,605915.0,609889.0,614567.0,618822.0,621367.0,622959.0,624434.0,626548.0,630428.0,637956.0,646072.0,653734.0,658215.0,658114.0,655976.0,654925.0,658128.0,660908.0,659532.0,657343.0,653051.0,2,"Smith Ranch, San Rafael"
416889,Wilson Heights,CA,Stockton,"Stockton, CA",San Joaquin County,197430.0,199105.0,200014.0,199972.0,200276.0,201375.0,202808.0,204688.0,205912.0,207170.0,208110.0,209394.0,212385.0,216568.0,221312.0,225329.0,227969.0,229721.0,230994.0,230985.0,230564.0,229796.0,230793.0,233270.0,236160.0,239138.0,242164.0,245412.0,248801.0,252030.0,253333.0,252288.0,249842.0,248898.0,250204.0,252731.0,257441.0,263711.0,271007.0,276950.0,281408.0,284732.0,286831.0,287495.0,287248.0,285970.0,283669.0,280693.0,279822.0,279981.0,2,"Wilson Heights, Stockton"
763975,Historic Folsom,CA,Folsom,"Sacramento-Roseville-Folsom, CA",Sacramento County,367832.0,369243.0,371500.0,373211.0,374605.0,376250.0,378270.0,379938.0,382284.0,384547.0,386640.0,388436.0,397108.0,412394.0,431564.0,445909.0,452884.0,454886.0,457027.0,455235.0,451668.0,445552.0,445268.0,448496.0,453199.0,458697.0,464356.0,470263.0,476439.0,481231.0,486151.0,489295.0,493583.0,498154.0,503480.0,507792.0,511634.0,515833.0,522180.0,528974.0,535751.0,538887.0,537028.0,531348.0,524996.0,521193.0,517827.0,513576.0,513778.0,513176.0,2,"Historic Folsom, Folsom"
268472,Sierra Oaks,CA,Sacramento,"Sacramento-Roseville-Folsom, CA",Sacramento County,411988.0,410666.0,409602.0,409354.0,408818.0,408608.0,408537.0,409510.0,411264.0,412837.0,413963.0,414486.0,417379.0,423275.0,431399.0,439688.0,446067.0,450467.0,452830.0,452557.0,451579.0,450626.0,453001.0,457367.0,460738.0,462977.0,464971.0,469137.0,475489.0,481998.0,486404.0,488319.0,488707.0,489675.0,491806.0,494784.0,498907.0,503370.0,509286.0,515115.0,520666.0,525111.0,527386.0,527079.0,524301.0,521230.0,517794.0,513450.0,510369.0,507626.0,2,"Sierra Oaks, Sacramento"
273495,Downtown,CA,Bakersfield,"Bakersfield, CA",Kern County,113443.0,113878.0,113857.0,113644.0,113242.0,113333.0,113466.0,113821.0,114414.0,115695.0,117405.0,118761.0,121424.0,124835.0,129372.0,132622.0,134668.0,135665.0,136535.0,137750.0,139320.0,140494.0,141500.0,142294.0,143402.0,144542.0,145743.0,146528.0,148181.0,150760.0,153100.0,154016.0,153209.0,152962.0,153644.0,154784.0,156491.0,158940.0,161925.0,164669.0,166582.0,168335.0,169674.0,170627.0,171707.0,172343.0,172527.0,171850.0,171910.0,171252.0,2,"Downtown, Bakersfield"
343604,Produce & Waterfront,CA,Oakland,"San Francisco-Oakland-Berkeley, CA",Alameda County,826283.0,820396.0,814826.0,812129.0,812383.0,813240.0,814461.0,815359.0,814623.0,815632.0,818605.0,823895.0,826311.0,826818.0,828064.0,830787.0,831512.0,830359.0,827569.0,825129.0,823198.0,823268.0,825197.0,826738.0,827628.0,829552.0,833019.0,837285.0,841388.0,845526.0,851336.0,859593.0,868537.0,876624.0,883131.0,888069.0,889202.0,888184.0,887321.0,888431.0,886993.0,882737.0,871681.0,856413.0,837458.0,821608.0,809883.0,801114.0,792892.0,785850.0,2,"Produce & Waterfront, Oakland"
417492,North Waterfront,CA,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,1435529.0,1430361.0,1432636.0,1441169.0,1448442.0,1454766.0,1457241.0,1460767.0,1462422.0,1466837.0,1473066.0,1484367.0,1491257.0,1494588.0,1492782.0,1490161.0,1484204.0,1474894.0,1468089.0,1465320.0,1459261.0,1451160.0,1446501.0,1449577.0,1449992.0,1441497.0,1429670.0,1416827.0,1418486.0,1418109.0,1424137.0,1425427.0,1435902.0,1451557.0,1468533.0,1484136.0,1483268.0,1475607.0,1462378.0,1455778.0,1450302.0,1439828.0,1424340.0,1399242.0,1370900.0,1344207.0,1324670.0,1304102.0,1288226.0,1272494.0,2,"North Waterfront, San Francisco"
395177,Union,CA,Campbell,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,755885.0,747766.0,736938.0,726689.0,718301.0,710677.0,705619.0,703596.0,704683.0,705277.0,704965.0,704785.0,705528.0,707274.0,709069.0,709253.0,705564.0,700172.0,695611.0,694966.0,697788.0,702699.0,709286.0,715616.0,719916.0,721079.0,720043.0,720531.0,724638.0,729848.0,734947.0,737953.0,741478.0,744860.0,749028.0,754816.0,763493.0,773741.0,784813.0,794798.0,802546.0,805653.0,805140.0,800982.0,797466.0,795045.0,795242.0,793699.0,797914.0,803584.0,2,"Union, Campbell"
417528,Little Hollywood,CA,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,857855.0,853233.0,850286.0,850173.0,849849.0,851488.0,856347.0,863621.0,870781.0,875921.0,881288.0,887705.0,894039.0,899477.0,903113.0,903405.0,900713.0,894408.0,891120.0,892422.0,897841.0,903052.0,905695.0,904991.0,903741.0,903968.0,907717.0,914377.0,924651.0,937029.0,946469.0,947652.0,943427.0,937760.0,937292.0,937235.0,940641.0,947375.0,957995.0,966517.0,968732.0,964593.0,956951.0,945557.0,931747.0,918469.0,906818.0,895816.0,890083.0,882920.0,2,"Little Hollywood, San Francisco"
272978,Blair Park,CA,San Bernardino,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,195423.0,198931.0,201751.0,203501.0,204536.0,206315.0,207921.0,209495.0,211023.0,213435.0,216774.0,220289.0,222662.0,223881.0,223686.0,223478.0,222620.0,220588.0,217174.0,214045.0,213485.0,215457.0,219218.0,223430.0,227292.0,229993.0,232085.0,233909.0,236508.0,239669.0,243237.0,245915.0,248678.0,251813.0,256197.0,260729.0,265658.0,270890.0,275997.0,280833.0,285653.0,290960.0,295424.0,297908.0,299428.0,300729.0,302066.0,302523.0,302166.0,300419.0,2,"Blair Park, San Bernardino"
268170,Gaskill,CA,Oakland,"San Francisco-Oakland-Berkeley, CA",Alameda County,839434.0,831992.0,825316.0,822483.0,823210.0,823624.0,825537.0,829257.0,836852.0,843410.0,848617.0,853995.0,858248.0,864866.0,869149.0,874189.0,871961.0,867152.0,859881.0,854879.0,854389.0,858722.0,866428.0,871360.0,875559.0,880898.0,890842.0,903365.0,914453.0,919787.0,922190.0,919781.0,918472.0,916124.0,917471.0,918297.0,922368.0,929508.0,941752.0,951926.0,954662.0,949163.0,937413.0,923156.0,906476.0,889527.0,873108.0,857490.0,846396.0,829800.0,2,"Gaskill, Oakland"
268141,Elmhurst,CA,Sacramento,"Sacramento-Roseville-Folsom, CA",Sacramento County,426772.0,426887.0,427993.0,428977.0,429642.0,430515.0,432369.0,434400.0,437809.0,441320.0,444484.0,446012.0,449431.0,455802.0,464359.0,471687.0,475723.0,477899.0,480418.0,481507.0,481995.0,481805.0,484607.0,489617.0,494772.0,500255.0,505786.0,512805.0,521344.0,528379.0,532824.0,532808.0,531075.0,529325.0,529326.0,531099.0,535703.0,543145.0,552565.0,559776.0,564846.0,567652.0,567843.0,564448.0,558388.0,552957.0,548797.0,544245.0,541024.0,535675.0,2,"Elmhurst, Sacramento"
416977,Mariners Island,CA,San Mateo,"San Francisco-Oakland-Berkeley, CA",San Mateo County,1002170.0,1010879.0,1019833.0,1025727.0,1027745.0,1029809.0,1030202.0,1033484.0,1036223.0,1038791.0,1039007.0,1039088.0,1035678.0,1033382.0,1034194.0,1041665.0,1047101.0,1041898.0,1025691.0,1006991.0,995495.0,989776.0,988253.0,989295.0,992656.0,994118.0,994121.0,994389.0,998900.0,1006151.0,1015658.0,1022422.0,1028651.0,1035863.0,1044965.0,1053626.0,1063954.0,1076022.0,1091390.0,1103989.0,1113272.0,1115689.0,1110050.0,1097226.0,1083119.0,1069529.0,1059416.0,1048548.0,1048247.0,1050016.0,2,"Mariners Island, San Mateo"
