RegionID,Neighborhood,State,City,Metro,County,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28
274756,North Valley,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,913441.0,901148.0,887859.0,875721.0,865714.0,855543.0,848314.0,843644.0,843599.0,844125.0,844891.0,846326.0,850536.0,857594.0,864444.0,867072.0,863472.0,855724.0,849074.0,848506.0,855211.0,867221.0,882630.0,897488.0,908620.0,915801.0,921117.0,929038.0,938356.0,947994.0,956867.0,964669.0,972396.0,980015.0,990369.0,1004384.0,1025795.0,1052210.0,1081604.0,1106032.0,1123112.0,1129449.0,1127581.0,1119540.0,1110102.0,1102261.0,1098377.0,1096453.0,1088788.0,1078742.0
48570,Woodland Hills,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,752966.0,745193.0,736142.0,730145.0,727364.0,726288.0,728457.0,734003.0,742102.0,750261.0,758262.0,766160.0,771716.0,775685.0,778555.0,780488.0,779188.0,774501.0,774070.0,780254.0,794126.0,810387.0,828814.0,847265.0,859735.0,867090.0,871370.0,880923.0,895120.0,912482.0,930071.0,942664.0,950903.0,956451.0,963805.0,973794.0,989159.0,1008125.0,1030565.0,1049926.0,1066759.0,1076285.0,1080844.0,1079504.0,1076355.0,1074095.0,1074092.0,1072565.0,1063514.0,1048335.0
34213,Sylmar,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,524981.0,520172.0,513590.0,509059.0,506742.0,506263.0,509014.0,514820.0,522694.0,530731.0,538127.0,545224.0,548624.0,549233.0,548203.0,548126.0,547289.0,545363.0,546559.0,552802.0,563812.0,576684.0,590595.0,604566.0,613152.0,618321.0,620551.0,625967.0,633542.0,643072.0,652997.0,659703.0,663947.0,667190.0,671415.0,676536.0,683659.0,693183.0,704473.0,714215.0,721814.0,725387.0,726996.0,726843.0,726581.0,725816.0,724512.0,721646.0,712279.0,699903.0
54300,San Pedro,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,677493.0,669887.0,660705.0,654720.0,651595.0,650743.0,652846.0,657980.0,664535.0,671068.0,677030.0,683542.0,687212.0,689135.0,690056.0,690454.0,688077.0,682785.0,681438.0,686768.0,698745.0,713766.0,730814.0,747211.0,757003.0,761903.0,764201.0,771421.0,782540.0,795952.0,809657.0,819686.0,827705.0,833342.0,839289.0,845745.0,853636.0,863723.0,875814.0,886665.0,896884.0,902856.0,906842.0,905531.0,902612.0,899349.0,898137.0,896267.0,889688.0,878496.0
115003,Evergreen,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,992921.0,981245.0,968913.0,958434.0,951317.0,943756.0,938793.0,936390.0,938749.0,941030.0,943497.0,946330.0,951209.0,957600.0,964189.0,967337.0,963580.0,955152.0,949363.0,951635.0,962719.0,978653.0,997873.0,1016124.0,1030530.0,1041412.0,1050854.0,1063182.0,1077244.0,1091836.0,1103881.0,1112438.0,1119084.0,1127479.0,1139561.0,1156460.0,1180831.0,1209986.0,1241273.0,1265881.0,1280847.0,1281514.0,1271939.0,1256110.0,1239479.0,1225038.0,1216443.0,1211006.0,1205641.0,1193806.0
40215,Pacoima,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,479564.0,474560.0,468116.0,463593.0,460699.0,459549.0,461747.0,467363.0,474805.0,482296.0,489089.0,495375.0,498828.0,500174.0,500202.0,500796.0,500489.0,499278.0,500658.0,506311.0,516079.0,527068.0,538637.0,550056.0,557463.0,561885.0,563552.0,567143.0,572181.0,579044.0,587013.0,591854.0,594455.0,595822.0,598806.0,602155.0,608750.0,619040.0,632480.0,643275.0,650737.0,654790.0,656989.0,657536.0,657397.0,657242.0,656674.0,654071.0,645139.0,633447.0
27080,Sherman Oaks,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,982012.0,967945.0,951661.0,940522.0,934757.0,931867.0,934130.0,943239.0,956007.0,969621.0,982133.0,994045.0,1001802.0,1006652.0,1010230.0,1012597.0,1009131.0,1000046.0,997920.0,1007578.0,1029312.0,1053892.0,1081453.0,1107325.0,1122034.0,1126824.0,1125682.0,1134015.0,1150597.0,1172547.0,1195028.0,1212089.0,1225775.0,1237308.0,1250920.0,1268699.0,1287770.0,1307429.0,1326596.0,1344532.0,1361122.0,1370587.0,1374525.0,1368711.0,1359505.0,1351222.0,1350094.0,1348352.0,1332475.0,1308830.0
40548,Reseda,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,534545.0,529117.0,522036.0,516761.0,513536.0,512147.0,514230.0,519735.0,527388.0,535298.0,542496.0,548991.0,551958.0,552725.0,552253.0,552542.0,551417.0,548876.0,549707.0,555986.0,567377.0,579909.0,592856.0,606449.0,615612.0,621438.0,623639.0,629047.0,637367.0,648628.0,660980.0,669682.0,675097.0,678360.0,683090.0,688693.0,698576.0,711818.0,727617.0,738902.0,746739.0,749868.0,751995.0,752305.0,752863.0,753330.0,754246.0,752677.0,742670.0,727445.0
276023,Westlake,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,751383.5,738583.5,723956.5,712773.5,706268.5,703235.5,705156.0,712105.0,721856.5,734801.5,747634.0,760504.5,766579.5,767395.5,766246.5,765201.0,762375.5,755738.5,753582.5,758756.0,772549.0,789181.0,807537.0,823721.0,829417.0,827618.0,822278.0,824337.0,830436.0,837332.5,841783.0,844896.0,846510.5,849522.5,854890.0,863324.0,873578.0,883125.5,892708.0,900794.5,908776.5,914844.5,921588.5,923778.0,923768.5,920836.0,921822.5,920992.5,905278.0,879963.0
118872,West Anaheim,CA,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",Orange County,578661.0,574787.0,570806.0,570093.0,571381.0,573080.0,574864.0,577673.0,582048.0,587212.0,592231.0,596930.0,600362.0,602614.0,604215.0,606040.0,606301.0,605353.0,605256.0,609167.0,616635.0,626000.0,636189.0,646891.0,656007.0,663272.0,668202.0,673811.0,680348.0,688326.0,694370.0,697187.0,697951.0,701450.0,708493.0,718380.0,731244.0,746609.0,763383.0,778246.0,788799.0,793938.0,793010.0,789436.0,785158.0,782513.0,779689.0,775444.0,767996.0,760623.0
